,Unnamed: 0,Movie,Reviewer,Publish,Review,Date,Score,revenue,gpt_sentiment,gpt_score,mos_sentiment,mos_score,budget
197636,197795,MAGGIE,Robert Kojder,Flickering Myth,"In a smart move, Schwarzenegger isn't given very many lines and mostly relies on facial expressions and body language to convey his inner pain.",02/12/2017,60,,Positive,6,positive,5.857142857,10000000
402908,406689,THE GROCER'S SON,Sara Michelle Fetters,MovieFreak.com,"It's sublime work, the whole picture having a firmly enthralling lived-in consistency that's cant help but feel utterly genuine.",24/10/2008,87.5,264889,Positive,7,positive,7.8125,5000000
8041,8043,NOMADLAND,James Verniere,Boston Herald,Turn on (your engines) tune in (your radios) and drop out. Film mines appeal of alternate lifestyle.,19/02/2021,89,39458207,Positive,6,positive,5.909090909,11000000
112221,112278,DUNKIRK,Paul Whitington,Irish Independent,"This is real cinema: spare, terse, expertly edited. I saw it in 70mm, and so should you if you can. But mostly, you should just go see it -- it's a masterpiece.",21/07/2017,100,527816307,Positive,9,positive,8.5,100000000
159777,159901,ME BEFORE YOU,Mike McCahill,Guardian,"Transferring from theatre, director Thea Sharrock ramps up the property porn, while failing to fill this space with anything like recognisable human activity or emotion.",02/06/2016,40,,Negative,6,negative,4.5,"350,000,00"
333689,334928,RANGO,Eric D. Snider,Cinematical,The only thing more astonishing than its subversive sense of humor and general anarchy is the fact that a studio is putting it in wide release.,04/03/2011,89,,Positive,7,positive,6.777777778,135000000
248287,248633,THE BEST MAN HOLIDAY,Willie Waffle,WaffleMovies.com,"With this much chemistry and this much talent in one movie, you have a winner, no matter how predictable or sappy the whole thing becomes.",15/11/2013,75,,Positive,7,positive,6.1875,30000000
22225,22231,THE TRIP TO GREECE,Brian Eggert,Deep Focus Review,"Winterbottom, Coogan, and Brydon leave us to appreciate the simple pleasures of food, travel, and humor through the framework of human history and culture.",18/02/2022,87.5,259505,Positive,6,positive,5.9375,15000000
397087,400577,I.O.U.S.A.,Steven Rea,Philadelphia Inquirer,"There's no quick fix for a culture 'addicted to debt,' as one wag puts it in the film. But watching I.O.U.S.A. is a good place to start.",21/08/2008,87.5,826799,Positive,6,positive,5.384615385,15000000
134051,134134,URBAN HYMN,David Parkinson,Radio Times,Good intentions can't keep this stab at social realism from descending into maudlin melodrama.,30/09/2016,40,,Negative,6,negative,4.75,5000000
18203,18209,USELESS HUMANS,Carey-Ann Pawsey,Orca Sound,"Many will dismiss it outright, but I say give it a chance and you might find yourself laughing along.",16/07/2020,60,,Positive,4,positive,4.111111111,10000000
160380,160504,NIGHT OF THE LIVING DEB,Joey Keogh,Wicked Horror,"Night Of The Living Deb, as its tongue in cheek title suggests, is just as warm, gory and funny as its British, male counterpart.",03/10/2019,70,,Positive,7,positive,5.714285714,2000000
296085,296785,2016: OBAMA'S AMERICA,Brett Michel,Boston Phoenix,[This] unsubstantiated mess isn't much of a movie or a documentary.,04/09/2012,0,,Negative,5,negative,5.071428571,5000000
222340,222569,TAMMY,John Urbancich,Your Movies (cleveland.com),"Trouble is, it never really takes us to joyous parts unknown, just through some absurd sketch-like situations that might actually work in any of McCarthy's appearances on ""Saturday Night Live.""",01/07/2014,50,,Negative,4,negative,5.272727273,20000000
50410,50428,MEN IN BLACK: INTERNATIONAL,Graeme Tuckett,Stuff.co.nz,"Men in Black: International is a collection of scenes, some entertaining, some necessary, but mostly neither, in search of a real reason to exist. A sequel is probably inevitable.",12/06/2019,50,253890701,Negative,4,negative,4.428571429,110000000
308550,309427,ONE FOR THE MONEY,Michael Dequina,TheMovieReport.com,One doesn't need to have any familiarity with the Stephanie Plum novel series to immediately hear and see what an ill fit Katherine Heigl is for the role.,02/06/2012,37.5,,Negative,5,negative,5,40000000
65217,65253,BUMBLEBEE,Rich Cline,Shadows on the Wall,"Steinfeld injects the right mix of sparky teen angst and feisty humour, adding layers to each scene that builds Iron Giant-style emotions between this girl and her car.",19/12/2018,70,,Positive,7,positive,6.642857143,135000000
301936,302685,THE VIRAL FACTOR,Nick Schager,Slant Magazine,"The apparent byproduct of watching too much Bad Boys II, The Viral Factor is a cops-and-criminals saga slathered in glossy Michael Bay-isms.",18/01/2012,37.5,,Negative,6,negative,3.909090909,10000000
360016,361827,NEVER LET ME GO,David Stratton,At the Movies (Australia),"As a triangular love story, this doesn't really soar either, despite good performances from a hip young cast, and the end result is that a story that should have been terribly affecting, isn't.",30/03/2011,60,9918093,Negative,4,negative,4.625,32000000
382194,384887,WORLD'S GREATEST DAD,Tim Robey,Daily Telegraph (UK),"Williams keeps his head above water, and a giddy climax recuperates some of the original energy -- enough, at least, to make this director's next project one worth rooting for anew.",23/09/2010,60,221805,Positive,7,positive,5.818181818,10000000
103355,103407,PITCH PERFECT 3,Princess Weekes,The Mary Sue,"The second, and now third installments have turned into meandering messes with few jokes that land and a cast that, while talented, doesn't really get to do much.",22/12/2017,40,,Negative,4,negative,4.615384615,35000000
