Movie,Content
Nomadland,"In 2011, Fern loses her job after the US Gypsum plant in Empire, Nevada, shuts down; she had worked there for years along with her husband, who recently died. Fern sells most of her belongings and purchases a van to live in and travel the country searching for work. She takes a seasonal job at an Amazon fulfillment center through the winter.
Linda, a friend and co-worker, invites Fern to visit a desert rendezvous in Arizona organized by Bob Wells, which provides a support system and community for fellow nomads. Fern initially declines, but changes her mind as the weather turns cold and she struggles to find work in the area. There, Fern meets fellow nomads and learns basic survival and self-sufficiency skills for the road.
When Fern's van blows a tire, she visits the van of a nearby nomad, Swankie, to ask for a ride into town to buy a spare. Swankie chastises Fern for not being prepared and invites her to learn road survival skills; they become friends. Swankie tells Fern about her cancer diagnosis and shortened life expectancy and her plan to make good memories on the road rather than waste away in a hospital. They eventually part ways.
Fern takes a job as a camp host at the Cedar Pass Campgrounds in Badlands National Park in South Dakota. Also working there is Dave, another nomad she met and danced with at the desert community. When he falls ill with diverticulitis, Fern visits him at the hospital where he has had emergency surgery. They take restaurant jobs at Wall Drug in South Dakota. One night, Dave's son visits the restaurant looking for him, telling him that his wife is pregnant and asking him to meet his grandchild. He is hesitant, but Fern encourages him to go. Dave suggests that she come with him, but she declines.
Fern takes a new job at a sugar beet processing plant, but her van breaks down, and she cannot afford the repairs. Unable to borrow money, she visits her sister's family at their home in California. Fern's sister lends her the money to get the van fixed. She questions why Fern was never around in their lives and why Fern stayed in Empire after her husband died, but she tells Fern that she is brave to be so independent. Fern later visits Dave and his son's family in Point Arena, California, learning that Dave has decided to stay with them long-term. He admits to having feelings for her and invites her to stay with him permanently in a guest house, but she decides to leave after only a few days, heading to the ocean.
Fern returns to her seasonal Amazon job and later revisits the Arizona rendezvous. There, she learns that Swankie has died, and she and the other nomads pay tribute to her life by tossing stones into the campfire. Fern opens up to Bob about her loving relationship with her late husband, and he shares the story of his son's suicide. Bob espouses the view that goodbyes are not final in the nomad community as its members always promise to see each other again ""down the road"".
Fern returns to the nearly abandoned town of Empire to dispose of the belongings she has been keeping in a storage unit. She visits the factory and the home she shared with her husband before returning to the road."
Black Panther,"Thousands of years ago, five African tribes war over a meteorite containing the metal vibranium. One warrior ingests a ""heart-shaped herb"" affected by the metal and gains superhuman abilities, becoming the first ""Black Panther"". He unites all but the Jabari Tribe to form the nation of Wakanda. Over centuries, the Wakandans use vibranium to develop advanced technologies and isolate themselves from the world by posing as an underdeveloped country. In 1992, Wakanda king T'Chaka visits his brother N'Jobu, who is working undercover in Oakland, California. T'Chaka accuses N'Jobu of assisting black-market arms dealer Ulysses Klaue with stealing vibranium from Wakanda. N'Jobu's partner reveals he is Zuri, another undercover Wakandan, and confirms T'Chaka's suspicions.
In the present day, following T'Chaka's death,[a] his son T'Challa returns to Wakanda to assume the throne. He and Okoye, leader of the Dora Milaje, extract T'Challa's ex-lover Nakia from an undercover assignment so she can attend his coronation ceremony with his mother Ramonda and younger sister Shuri. At the ceremony, the Jabari Tribe's leader M'Baku challenges T'Challa for the crown in ritual combat. T'Challa defeats M'Baku and persuades him to yield rather than die.
When Klaue and his accomplice Erik Stevens steal a Wakandan artifact from a London museum, T'Challa's friend and Okoye's husband W'Kabi urges him to bring Klaue back alive. T'Challa, Okoye, and Nakia travel to Busan, South Korea, where Klaue plans to sell the artifact to CIA agent Everett K. Ross. A firefight erupts, and Klaue attempts to flee but is caught by T'Challa, who reluctantly releases him to Ross's custody. Klaue tells Ross that Wakanda's international image is a front for a technologically advanced civilization. Erik attacks and extracts Klaue as Ross is gravely injured protecting Nakia. Rather than pursue Klaue, T'Challa takes Ross to Wakanda, where their technology can save him.
While Shuri heals Ross, T'Challa confronts Zuri about N'Jobu, as Erik was wearing a necklace that belonged to him. Zuri explains that N'Jobu had grown disillusioned with Wakanda's isolationism and planned to share Wakanda's technology with people of African descent around the world to help them conquer their oppressors with the help of Klaue. Before T'Chaka could arrest N'Jobu, the latter attacked Zuri and forced T'Chaka to kill him. T'Chaka ordered Zuri to lie that N'Jobu had disappeared and left behind N'Jobu's American son N'Jadaka to maintain the lie. This boy grew up to be Erik, a black ops U.S. Navy SEAL who adopted the nickname ""Killmonger"". Meanwhile, Killmonger kills Klaue and takes his body to Wakanda. He is brought before the tribal elders, revealing his identity to be N'Jadaka and stating his claim to the throne. Killmonger challenges T'Challa to ritual combat, where he kills Zuri, badly injures T'Challa, and hurls him over a waterfall. Killmonger ingests the heart-shaped herb and orders the rest incinerated, but Nakia extracts one of them. Killmonger, supported by W'Kabi and his army, prepares to distribute shipments of Wakandan weapons to operatives around the world.
Nakia, Shuri, Ramonda, and Ross flee to the Jabari Tribe for aid. They find a comatose T'Challa, rescued by the Jabari as repayment for sparing M'Baku's life. Healed by Nakia's herb, T'Challa returns to fight Killmonger, who also dons a nanotech suit similar to T'Challa's. W'Kabi and his army fight Shuri, Nakia, and the Dora Milaje, while Ross remotely pilots a jet and shoots down the planes carrying vibranium weapons before they can leave Wakanda. M'Baku and the Jabari arrive to reinforce T'Challa. Confronted by Okoye, W'Kabi and his army stand down. Fighting in Wakanda's vibranium mine, T'Challa disrupts Killmonger's suit and stabs him. Killmonger refuses to be healed, choosing to die a free man rather than be incarcerated; T'Challa shows him the Wakanda sunset and Killmonger dies peacefully.
T'Challa establishes an outreach center at the building where N'Jobu died, to be run by Nakia and Shuri. In a mid-credits scene, T'Challa appears before the United Nations to reveal Wakanda's true nature to the world. In a post-credits scene, Shuri helps Bucky Barnes with his rehabilitation."
Dear Comrades!,"The film tells about the shooting of a demonstration of workers in Novocherkassk in 1962. Lyudmila is a party worker of the local city committee, and a staunch communist. During a large workers' strike at the Novocherkassk Electric Locomotive Plant over rising food prices and cuts in wages, Lyudmila witnesses the mass shooting of demonstrators by order of the Government Commission, which is trying to hide the strike from the rest of the USSR. 
During the protest and massacre, Lyudmila's 18-year-old daughter Svetka disappears. Lyudmila searches for her daughter frantically, but discreetly, as the KGB begins arresting suspects, secretly burying bodies, locking the town down completely, and legally swearing every person in town to total silence about the events. Lyudmila struggles to understand how the government could do all this, but also tries to convince herself that communism will triumph in the end. She longs for the days when Stalin ruled, but also prays and begs God to let her daughter still be alive.
A sympathetic KGB agent surreptitiously tries to help her locate her daughter. They eventually make their way out of the town to check a rural cemetery where some of the bodies have been secretly buried. A policeman who was ordered to bury the bodies in decrepit graves confirms that he buried the girl in the picture Lyudmila shows him of her daughter Svetka. She becomes grief-stricken when he mentions the girl's toes were sticking out of a hole in one stocking - a hole Lyudmila had recently told her daughter to sew up.
She drinks heavily on the way back to town. She is overcome with grief and confusion about all that has happened and what it means for communism and for her life. When she gets back to her apartment at night, her own father is packing up Svetka's suitcase. He tells Lyudmila that Svetka is up on the roof.
Lyudmila races up the stairs, and through a window sees her daughter hiding on the roof. She is overcome with joy and shock and repeats God's name in wonder that her daughter is alive.  As she hugs Svetka, she promises that she will protect her from the KGB. As the film ends, Lyudmila embraces her daughter and repeats the words, ""We'll do better."""
Hostiles,"In the New Mexico Territory in 1892, settler Rosalee Quaid and her family are attacked by a Comanche war group who kill her husband and three children. Rosalee escapes by hiding under a rock outcrop.
At Fort Berringer, soon-to-retire U.S. Army captain Joseph Blocker is ordered by President Harrison to escort the cancer-stricken Cheyenne war chief Yellow Hawk and four members of his family back to their tribal lands in Montana. Blocker initially refuses as he and Yellow Hawk are old enemies from the Great Sioux War of 1876, but accepts under the threat of court-martial and loss of his pension. Blocker sets out for Montana accompanied by his old friend 1st Sgt. Thomas Metz, long-time aide Cpl. Woodson, West Point newcomer Lt. Kidder, and a young private named Dejardin.
Blocker challenges Yellow Hawk to a knife fight, but he refuses. The group soon comes across the Quaid house and Rosalee's dead husband. Inside the house, they find a traumatized Rosalee and her deceased children. After some convincing, Rosalee agrees to join the company until their next stop-over in Fort Winslow, Colorado. They are soon ambushed by the Comanche who kill Dejardin and seriously injure Woodson before being forced to retreat. After the attack, Yellow Hawk convinces Blocker to unchain him and his family so they can help with future attacks. The following day, three dead Comanches are discovered, and Blocker correctly deduces that Yellow Hawk and his son Black Hawk snuck out of camp and killed them overnight.
At Fort Winslow, the group drops off the wounded Woodson and Blocker arranges for Rosalee to stay with the fort's commander, but she chooses to remain with the group. Blocker is ordered to bring disgraced sergeant Philip Wills to be hanged for having deserted from Fort Pierce and murdered a Native family. Two members of the fort, Cpl. Thomas and Sgt. Malloy, join Blocker's company to oversee Wills, who chastises Blocker and the Natives.
Near camp, the chief's daughter Living Woman and Rosalee are abducted and raped by three fur traders. The group hunts down and kills the rapists. Malloy is killed in the fight. The next night, Metz walks into a downpour and begins to express guilt for his past actions against the Natives, leaving Blocker concerned. He asks for mercy for past actions to the natives from Chief Yellow Hawk before returning to his tent. Meanwhile, Wills feigns illness, allowing him to kill Kidder and escape. Blocker is awakened by Wills killing Kidder and fatally wounds Wills as he escapes. Metz chases after him against Blocker's orders. The next day, the group finds their bodies with Metz still clutching a gun in his hand following his own apparent suicide. A devastated Blocker is consoled by Rosalee. They travel farther north as Yellow Hawk's condition continues to deteriorate. Blocker makes peace with the chief for the hardships they have inflicted upon one another over the years.
Yellow Hawk dies just as the group arrives at the tribal lands in Montana, where he is buried. As Blocker and others prepare to leave, a rancher and his three sons ride up, declare that they own the land, and order Blocker and the rest of the group to leave with the chief's body. Blocker informs them of the president's orders, only to be threatened at gunpoint. Blocker refuses, and a brutal shootout ensues. Black Hawk, Living Woman, Elk Woman and Corporal Thomas are killed and buried next to the chief.
Rosalee decides to take Black Hawk's orphan son, Little Bear, with her to Chicago. At the train station, the pair thank and bid an emotional farewell to Blocker. He hands Little Bear a gift: a book about Julius Caesar. As the train departs, Blocker decides to jump aboard."
Antebellum,"In a Louisiana slave plantation run by Confederate soldiers, slaves are treated harshly and not allowed to speak unless spoken to. Those who attempt to escape are killed and their bodies burned in a crematorium. After a failed escape attempt, a black man named Eli watches as his wife is murdered and her body placed in the crematorium. A woman who had been assisting them is later brutally beaten and branded by the general until she submits to being called Eden.
A group of new slaves are brought to the plantation. Among them is a pregnant woman whom the general's daughter Elizabeth names Julia and places in the care of Eden. Julia asks Eden to plan an escape while Eden urges her to keep her head down. That evening during a dinner where Julia and Eden are forced to wait on soldiers in the army, a shy Confederate soldier named Daniel is attracted to Julia and arranges to go to her cabin later. When Julia tries to play on his kindness and asks him to help her, he gets angry and tells her that he is still a Confederate. He beats her for speaking when not spoken to, causing her to miscarry.
After being raped by the general in her cabin, Eden hears a ringing cell phone. In the modern era, a cell phone rings, awakening Eden, who is a renowned sociologist named Dr. Veronica Henley. She is preparing to take a trip to speak and promote her book, which is particularly hard for her because she has to leave her husband Nick and her daughter Kennedi. She has a bizarre online meeting with Elizabeth which leaves her uncomfortable, but she dismisses her feelings and cuts the meeting short.
While in Louisiana on her book tour, she meets acquaintances Dawn and Sarah and agrees to go to dinner with them at a local restaurant. In the meantime, Elizabeth sneaks into her hotel room and steals her lipstick. Intending to go back home early in the morning, Veronica leaves the restaurant in what she believes is her Uber ride but is a car driven by Elizabeth. Elizabeth's husband Jasper knocks Veronica out.
At the plantation, Veronica discovers that Julia has hanged herself. Enraged, she tells Eli that they will escape that night. After being raped by the general again the following evening, she once again sneaks out of her cabin and steals the general's phone. Before she can call for help, she is interrupted by an intoxicated Daniel and another soldier who find the phone but are not suspicious believing it dropped out of the general's bag.
When he is alone, Eli kills Daniel with a hatchet and retrieves the cell phone. As the phone can only be unlocked with facial recognition, Veronica goes back to the cabin to find the general and is surprised to find he is awake. The general attacks both of them and Eli is subsequently killed trying to protect Veronica. She stabs the general with his own bayonet and unlocks the phone, then uses GPS to send her location to her husband. Intending to hide the general in the crematorium, she is interrupted by Jasper. Veronica lures him and another soldier into the crematorium and sets fire to it, leaving the three men to burn to death as she steals the general's horse and rides off.
Elizabeth and another soldier pursue Veronica on horseback and reveal that she handpicked every slave on the plantation except for Veronica, whom she kidnapped at her father's insistence. Veronica knocks Elizabeth off her horse and puts a rope around her neck, dragging her until she hits the base of a Robert E. Lee statue, thereby breaking her neck.
Veronica flees the pursuing soldiers into the chaos of a battle, revealing that the so-called plantation is part of a Civil War reenactment park called Antebellum, owned by Senator Blake Denton, who is posing as the general. Denton and his comrades intended to use the park to recreate an environment to reinstitute the practice of chattel slavery using African-American victims. Veronica finally escapes as the police arrive.
During the credits, the park is later shut down by the FBI, the slaves are rescued, and the park is destroyed."
Amulet,"Ex-soldier, Tomaz, unearths an amulet at an outpost in the woods. It becomes apparent that this is where he was stationed in his former country, which he eventually escaped to make it to London. Tomaz periodically has flashbacks to this time and Mirian, a woman who took shelter with him after he spared her life when he caught her trying to pass the border.
In London Tomaz works as a day laborer while sleeping in a derelict building with other refugees. When the building is set on fire, Tomaz is forced to flee suddenly in the night. Unable to breathe from the smoke, he collapses in an alley way and is discovered by Sister Claire, a nun. After visiting him in the hospital she suggests a better way of life for him and takes him to a house, explaining that a woman living there, Magda, needs help with the house upkeep as she cares for her dying mother. As she walks away, she is seen throwing Tomaz's money (which he thought lost) into the sewer.
Magda makes it clear she doesn't want Tomaz there and he too is reluctant to stay. However the two grow accustomed to one another and Tomaz tries to perform repairs. When trying to fix the water pipes Tomaz discovers a live albino bat clogging the toilet. He kills it, but not before it bites him.
Tomaz eventually sees Magda's mother, whom she keeps imprisoned in the attic. Though she is extremely ill she attacks Magda in front of Tomaz and he becomes protective of her. He takes her out on the town, fulfilling her wish to go out dancing all night if she was free.
Later on, returning home Magda and Tomaz see her mother giving birth to one of the bat like creatures he sees on the toilet. Tomaz goes to consult Sister Claire, and she tells him that the mother is a demon and that she and Magda have been charged with keeping it contained for years. Tomaz returns to the house, determined to kill the demon and save Magda. However after stabbing the demon in the throat it bites and attacks Tomaz only to be stopped by Magda.
Tomaz then flashes back to his time with Miriam. Developing a crush on her he urges her to stay with him until the end of the war and protects her from fellow soldiers. However after discovering her trying to leave in an attempt to reunite with her daughter, he chases her and rapes her.
Awakening in the house, Tomaz, determined to protect Magda, returns and attacks the demon. Once he beheads it he realizes that the host body was actually that of the previous occupant of the house, a man who murdered his wife with the intent to marry one of his own children. Sister Claire explains that he is now the new host and asks him who he wants to be his guardian. He demands that Magda watch over him. Later, Tomaz is sick. As his stomach begins to move, he too gives birth to one of the creatures.
Later, Magda drives up to a convenience store where Miriam is working the counter. After making sure that Miriam is all right she drives off and throws some food in the back where Tomaz is hiding under a blanket."
Useless Humans,"Brian (Josh Zuckerman) and his three degenerate friends (Davida Williams, Luke Youngblood, Rushi Kota) must save the world when a ruthless monstrous alien crashes his 30th birthday party.[2][3][4][5][excessive citations]"
The Wrong Missy,"In Portland, Tim has a blind date with Melissa, nicknamed Missy, who turns out to be extremely strange, and her oddball behavior turns out to be both dangerous and disastrous. Her wild antics force Tim to sneak out of the restaurant through a bathroom window, thereby dislocating his ankle.
Three months later, Tim bumps into a beautiful and successful woman (also named Melissa) at the airport. They connect over drinks, finding out they have nearly everything in common and seem to be perfect for each other. She gives him her number. 
After a series of intimate texts, he eventually invites Melissa to his work retreat in Hawaii. However, Missy shows up on the plane, and Tim realizes he had been texting the wrong Melissa the whole time. The antics start again as Missy forcibly gives him a tranquilizer and, when he awakens, she is giving him a handjob.
On the corporate retreat in Hawaii, the new CEO, Jack Winstone, greets everyone at the welcome party. When Missy makes an appearance, she is awkward and wild, and seems to always leave Tim in embarrassing situations in front of his boss and colleagues. Back at their room, he awakens from another tranquilized state to her on top of him, riding him cowgirl style. She often becomes reckless and intoxicated and her behavior humiliates Tim.
However, before too long, Missy starts to help Tim succeed at his work retreat, and even hypnotizes his boss to win his favor. As they spend more time together, Tim eventually begins to fall for her. His workplace competitor, Jess ""the Barracuda"", is not pleased when Winstone gives a job to Tim instead of her, so she reveals to Missy that her invitation was a mistake, and Tim had wanted to bring someone else. When Missy checks Tim's phone, she finds out the truth. Saddened and devastated, she leaves Hawaii.
However, at the moment Missy leaves in a cab, the actual Melissa arrives in Hawaii (having been invited by Jess). At lunch, Tim begins acting outlandishly, much like Missy did on their first date, imbibing a bevy of alcoholic shots and then performing a walking handstand in the dining room. After falling from the balcony and crippling himself, Tim lets the new Melissa know that he has developed feelings for Missy, and then departs Hawaii. Back in the office, Tim decides to remove the hypnotic spell Missy put on his boss by uttering the obscene and obscure magic words. His honesty results in him losing his job.
Tim tricks Missy into a date, where he plays the same trick that she had used on him. Except she meets Vanilla Ice at the bar. Tim comes up and apologizes to her and tells her he used to want someone exactly like him, but now realizes he doesn't. He tells her all the things that he likes about her, and says that he wants to be more like her. She forgives him, and they kiss."
The Irishman,"In a nursing home, elderly Irish-American World War II veteran Frank Sheeran recounts his time as a hitman for the Italian-American Mafia.
In 1950s Philadelphia, Sheeran works as a union delivery truck driver, where he starts selling some of the meat shipments to a local Philadelphia Italian-American gangster known as ""Skinny Razor"", a member of the Philadelphia crime family headed by Angelo Bruno. After the delivery company accuses Sheeran of theft, union lawyer Bill Bufalino gets the case thrown out when Sheeran refuses to name his customers to the judge. 
Bill introduces Sheeran to his cousin Russell Bufalino, head of the Northeastern Pennsylvania crime family. Sheeran begins to carry out jobs for him, as well as members of the South Philadelphia underworld, including ""painting houses"", a euphemism for contract killing. 
Sheeran is soon introduced to Jimmy Hoffa, head of the International Brotherhood of Teamsters, who has financial ties with the Northeastern Pennsylvania crime family. He is struggling to deal with fellow rising Teamster Anthony ""Tony Pro"" Provenzano, in addition to mounting pressure from the federal government. Hoffa becomes close with Sheeran and his family, especially his daughter Peggy; in turn Sheeran becomes his chief bodyguard.
After the 1960 election of John F. Kennedy, Bufalino is thrilled while Hoffa is furious. Kennedy's brother, Robert F. Kennedy, whom he appointed Attorney General, forms a ""Get Hoffa"" squad to bring down Hoffa, who is eventually arrested and convicted in 1964 for jury tampering. 
While Hoffa is in prison, his replacement as Teamsters president, Frank ""Fitz"" Fitzsimmons, misuses the union's pension fund and gives interest-free loans to the Mafia. Hoffa's relationship with Tony Pro, himself arrested for extortion, also deteriorates beyond repair when Hoffa refuses to help restore his forfeited pension. Hoffa's sentence is commuted by President Richard Nixon in 1971, although he is forbidden from partaking in any Teamsters activities until 1980.
Despite his parole terms, Hoffa undertakes a plan to reclaim his power atop the Teamsters. His growing disrespect for other Teamster leaders and his intention to separate the union from the Mafia begin to worry Russell. During a dinner in Sheeran's honor in October 1973, Russell tells Sheeran to confront Hoffa and warn him that the heads of the crime families are displeased with his behavior. Hoffa then informs Sheeran that he ""knows things"" that Russell and the dons of other families are unaware of and claims that what he knows makes him untouchable, for if anything ever happened to him, they would all end up in prison.
In 1975, while on their way to the wedding of Bill's daughter, Russell tells Sheeran that the dons have become fed up with Hoffa and have sanctioned his murder. Reluctantly, Russell informs Sheeran that he has been chosen as the triggerman, knowing he might otherwise try to warn or save Hoffa. The two drive to a private airport where Sheeran boards a plane to Detroit. 
Hoffa, who had scheduled a meeting at a local restaurant with Tony Pro and Anthony Giacalone, is surprised to see Sheeran arrive late with Hoffa's unsuspecting foster son Chuckie O'Brien and loan shark Sally Bugs. They tell Hoffa the meeting was moved to a house where Tony Pro and Russell, so are waiting to drive him over there. Entering the house, Hoffa finds it empty and realizes that he has been set up. He turns around to leave, at which point Sheeran shoots him dead at point-blank range and leaves the gun atop his body by the entrance. After Sheeran departs, two other mobsters wrap up the body and cremate it in secret.
Invoking their Fifth Amendment rights in a grand jury investigation into Hoffa's disappearance, Sheeran, Russell, Tony Pro, and others are eventually convicted on various charges unrelated to Hoffa's murder. One by one, the elderly gangsters die in prison. 
Sheeran is eventually released and placed in a nursing home. He tries to reconcile with his alienated daughters, but Peggy, sensing his involvement in Hoffa's disappearance, has since severed all contact with him. Sheeran begins seeing a Catholic priest assigned to the nursing home who gives him absolution for the crimes he committed over his lifetime, though Sheeran shows little remorse – aside from his killing of Hoffa. As the priest leaves, Sheeran asks him to leave the door slightly ajar, emulating one of Hoffa's habits."
Downton Abbey,"In 1927, the Crawleys receive word that King George V (Simon Jones) and Queen Mary (Geraldine James) intend to visit Downton during their royal tour of Yorkshire, exciting both the family and the staff. As the servants begin preparations, Lady Mary (Michelle Dockery) feels that house butler Barrow (Robert James-Collier) is ill-equipped to manage such an important event and thus recruits former butler Carson (Jim Carter) to briefly exit retirement in order to assist, much to Barrow's chagrin. When the boiler breaks down, a repairman shows up and seems to be flirting with Daisy (Sophie McShera), making Andy (Michael Fox) jealous. Shortly thereafter, members of the royal staff begin to arrive at Downton in advance of the King and Queen themselves. While Richard Ellis (Max Brown), the King's valet, treats the Downton staff kindly, the rest of the entourage are arrogant and rude, making it clear that the royal staff intends to supplant that of Downton for the duration of the visit. In addition, small items keep disappearing from the house.
Bertie and Edith Pelham, Lord and Lady Hexham (Harry Hadden-Paton and Laura Carmichael), arrive the day before the royal couple is due to visit. Later that evening, chairs for the parade seating are delivered during heavy rain and Lady Mary leads a messy group effort to position the chairs for the next day. The weather clears and the King and Queen arrive at Downton, where they are introduced to the Crawley family. Violet (Maggie Smith) exchanges cold pleasantries with the queen's lady-in-waiting Maud (Imelda Staunton), who is Robert's (Hugh Bonneville) first cousin once removed and Tom (Allen Leech) meets her maid Lucy Smith (Tuppence Middleton). Violet begrudges Maud for her decision to bequeath her estate to Lucy rather than to Robert.
Meanwhile, in the village, Tom encounters a mysterious man identifying himself as Major Chetwode (Stephen Campbell Moore), whom Tom initially believes is assessing security ahead of the royal visit and parade. Later, when the parade is set to begin, Chetwode prepares to assassinate the King in the staging area but is thwarted by Tom, whom Chetwode mistakenly believed was an ally because of their shared Irish origins and Lady Mary, who disarms him after Tom pins him to the ground. After the parade, Tom encounters a woman sobbing on Downton's lawn. Unbeknownst to him, the woman is Princess Mary (Kate Phillips). She laments her failing marriage, but Tom lifts her spirits and ultimately motivates her to remain with her husband.
Anna (Joanne Froggatt) and Mr Bates (Brendan Coyle) rally the Downton staff into retaking control of Downton's operations while the royal couple is still visiting. Barrow and Ellis trick Mr Wilson (David Haig), the Page of the Backstairs, into ordering some of the royal staff to return home to London early. Anna slips a strong sedative into the tea of the royal chef, Monsieur Courbet, and Wilson himself is ""accidentally"" locked in his room. Anna has surmised that Miss Lawton (Susan Lynch), the Queen's dresser, is stealing the house's items and leverages her knowledge of Lawton's crimes to compel her to alter a gown for Lady Hexham. Then the Downton staff, with the assistance of Mr Molesley (Kevin Doyle) and Albert, manage the dinner that marks the end of the royal visit. The revised menu elicits high praise from the King, which in turn prompts Molesley to break protocol and announce that it was the Downton staff, not the royal staff, that produced it.
That evening, Barrow and Ellis make a trip to York. Ellis visits his parents, while Barrow waits for him at a pub. A man at the pub invites Barrow to an underground gay nightclub, but shortly after their arrival there, police raid the venue and arrest the attendees. Ellis, also a closeted gay man, soon learns what happened and uses his position in the royal household to get Barrow released from police custody. Isobel (Penelope Wilton) deduces that Lucy is Maud's illegitimate daughter, which is why she stands to inherit Maud's estate. Isobel challenges Maud to explain the situation to Violet.
The next morning, Henry (Matthew Goode) returns home after travelling abroad and joins the Crawleys at Harewood House, along with the royal family. During the ball that evening at Harewood, Princess Mary informs her parents that Tom helped save her marriage by convincing her to remain with her husband and she encourages the King to speak with Tom. He approaches Tom and expresses gratitude, also implying that he's aware of Tom's role in thwarting the assassination attempt at the parade.
The King releases Bertie from his obligation to join the Prince of Wales on a three-month tour of Africa, which the King had requested earlier in the visit. Bertie had initially accepted the commitment, but he later wished to back out of the trip after learning of Edith's pregnancy. Thanks to Cora (Elizabeth McGovern) and the Queen's intervention, the King had a change of heart and rescinded his request. Meanwhile, Maud privately confesses to Violet that Lucy is her daughter, which is why she made Lucy her heir instead of Robert. Violet finally understands the situation and the two reconcile. Violet then begins plotting to keep Maud's estate in the Crawley family in the future through a union of Tom and Lucy, as she had taken notice of the pair's budding romance earlier.
Finally, Lady Mary quietly asks Violet about her visit to London. Violet informs her that she had gone for a doctor's visit, during which she learned that she may not have long to live. Mary is distraught, but Violet assures her that Downton and its legacy are safe in Mary's hands. As this conversation continues, Tom finds Lucy on the terrace and the two dance in the dark while listening to the music played inside at the ball."
